full_path,age,gender,pixels
['17/10000217_1981-05-05_2009.jpg'],28,1.0,[255. 255. 255. ...  27.  78. 143.]
['12/100012_1948-07-03_2008.jpg'],60,1.0,[92. 97. 91. ... 30. 31. 35.]
['16/10002116_1971-05-31_2012.jpg'],41,0.0,[ 61.  30.  10. ... 255. 237. 231.]
['02/10002702_1960-11-09_2012.jpg'],52,0.0,[ 97. 122. 178. ...  83. 112. 168.]
['41/10003541_1937-09-27_1971.jpg'],34,1.0,[190. 189. 194. ... 104. 103.  99.]
['99/10004299_1908-08-19_1950.jpg'],42,1.0,[ 75.  70.  66. ... 230. 218. 202.]
['56/1000456_1933-06-12_1969.jpg'],36,1.0,[174. 174. 174. ...  18.  18.  18.]
['82/10004882_1987-05-16_2010.jpg'],23,1.0,[187. 186. 192. ... 171. 200. 116.]
['47/10005947_1981-04-07_2006.jpg'],25,0.0,[ 75.   2.  47. ... 123. 101.  87.]
['84/1000684_1972-04-05_2004.jpg'],32,1.0,[ 0.  3.  2. ...  6.  9. 26.]
['50/10006850_1973-08-17_2010.jpg'],37,1.0,[207. 208. 194. ...  75.  54.  69.]
['81/1000781_1930-07-07_2008.jpg'],78,1.0,[ 28.  31.  38. ... 240. 174. 142.]
['87/100087_1889-05-19_1940.jpg'],51,1.0,[ 93.  93.  93. ... 112. 112. 112.]
['97/100097_1968-03-23_2010.jpg'],42,1.0,[110.  88.  65. ...  47.  45.  58.]
['91/1001191_1980-11-08_2011.jpg'],31,1.0,[183. 178. 174. ... 242.  95. 113.]
['31/1001231_1981-01-30_2014.jpg'],33,1.0,[ 94. 140. 200. ...  66.  76.  16.]
['32/10012532_1983-03-30_2011.jpg'],28,0.0,[219. 175. 176. ...  12.  16.  28.]
['19/1001319_1920-11-30_1950.jpg'],30,0.0,[ 84.  84.  84. ... 103. 103. 103.]
['31/100131_1926-09-06_1986.jpg'],60,1.0,[238. 238. 240. ...  69.  57.  61.]
['45/10013345_1956-05-26_1969.jpg'],13,1.0,[13. 13. 13. ... 93. 93. 93.]
['64/1001464_1953-12-29_2014.jpg'],61,1.0,[174. 174. 174. ...  15.  15.  15.]
['95/10014795_1968-10-11_2010.jpg'],42,1.0,[255. 209. 193. ...  34.  34.  34.]
['79/10015679_1977-03-01_2007.jpg'],30,1.0,[ 61.  88.  97. ...  56. 146. 232.]
['56/100156_1920-04-07_1988.jpg'],68,1.0,[ 16.  13.  32. ... 192. 152. 100.]
['74/10016074_1987-07-27_2012.jpg'],25,1.0,[187. 191. 216. ... 254. 227.  76.]
['25/10016225_1988-02-03_2012.jpg'],24,1.0,[106.  97. 100. ... 136. 154.  78.]
['35/10016635_1962-02-08_2011.jpg'],49,1.0,[186. 137. 228. ...  47.  18.  10.]
['88/10016688_1963-07-28_2009.jpg'],46,0.0,[142. 146. 145. ... 193. 181. 183.]
['64/10017464_1973-08-03_2007.jpg'],34,1.0,[ 47.  39.  37. ... 125. 113. 123.]
['18/10018_1930-05-11_2002.jpg'],72,1.0,[ 72.  73.  29. ... 223. 212. 192.]
['96/100196_1957-10-03_2010.jpg'],53,1.0,[254. 254. 252. ... 117. 146. 162.]
['48/1002248_1960-05-14_2007.jpg'],47,1.0,[14. 22. 25. ...  4. 10. 10.]
['05/10024005_1955-12-24_2012.jpg'],57,1.0,[ 82. 199. 206. ... 168. 125. 118.]
['54/10024854_1937-11-27_1960.jpg'],23,1.0,[233. 233. 233. ... 110. 110. 110.]
['21/10026321_1984-05-17_2014.jpg'],30,1.0,[ 48.  47.  42. ... 111. 168. 255.]
['87/1002787_1962-01-28_2009.jpg'],47,1.0,[123.  97. 204. ...  31.  32.  27.]
['62/10028362_1974-10-18_2007.jpg'],33,1.0,[78. 78. 80. ... 49. 54. 50.]
['85/100285_1949-11-08_2007.jpg'],58,0.0,[ 4.  4.  4. ... 12.  9.  4.]
['21/10028621_1956-10-10_2010.jpg'],54,1.0,[131.  54.   8. ... 189. 161. 114.]
['71/1002871_1954-03-26_2007.jpg'],53,1.0,[211. 207. 204. ... 124.   2.   1.]
['23/1002923_1954-09-10_2009.jpg'],55,1.0,[142.  15.  24. ...  24.  18.  20.]
['80/1002980_1966-01-31_2012.jpg'],46,1.0,[173. 169. 170. ... 167. 192. 199.]
['13/10030613_1980-06-23_2013.jpg'],33,0.0,[  4.  39. 131. ...  27.  25.  30.]
['43/1003243_1965-04-10_2007.jpg'],42,1.0,[155. 141. 140. ... 164. 153. 159.]
['59/10033359_1945-06-14_2012.jpg'],67,1.0,[160. 166. 156. ... 129. 156. 183.]
['39/100339_1931-07-10_2010.jpg'],79,1.0,[189. 193. 196. ...  34.  36.  35.]
['49/1003449_1920-08-10_1970.jpg'],50,1.0,[0. 0. 0. ... 0. 0. 0.]
['29/10034929_1976-07-29_2009.jpg'],33,1.0,[150. 163. 171. ... 203. 162. 134.]
['34/10038134_1975-07-31_2007.jpg'],32,1.0,[85. 31. 19. ... 63. 65. 78.]
['84/100384_1967-04-27_2015.jpg'],48,1.0,[192. 193. 195. ... 235. 191. 166.]
['87/100387_1969-10-11_2013.jpg'],44,1.0,[  4.   4.   4. ... 131.  95.  95.]
['38/10038938_1961-08-28_2008.jpg'],47,1.0,[177. 149. 101. ...  22.  17.  13.]
['23/10039123_1913-12-03_1976.jpg'],63,1.0,[224. 219. 213. ...  40.  40.  42.]
['48/1003948_1976-03-30_2006.jpg'],30,0.0,[218. 221. 226. ... 208. 200. 197.]
['27/1004027_1979-05-25_2010.jpg'],31,1.0,[179.  53.  41. ... 100.  99.  94.]
['19/10040419_1987-11-05_2012.jpg'],25,1.0,[ 78.  83. 103. ...  18. 106.  48.]
['59/1004059_1964-09-19_2010.jpg'],46,0.0,[  0.   0.   0. ... 142. 111.  90.]
['05/100405_1948-08-20_2010.jpg'],62,1.0,[185.  53.  32. ... 189. 140.  99.]
['78/1004078_1979-09-15_2007.jpg'],28,1.0,[200. 219. 215. ... 116.  53. 123.]
['07/1004107_1976-05-02_2008.jpg'],32,1.0,[ 51.  81.  47. ... 179.  44.  61.]
['60/1004160_1970-06-16_2007.jpg'],37,1.0,[250. 243. 250. ...  68.  97. 165.]
['29/1004429_1981-02-13_2007.jpg'],26,1.0,[ 79.  82. 153. ... 241. 251. 253.]
['40/1004540_1975-08-25_2011.jpg'],36,0.0,[168. 168. 170. ...   2.   1.   0.]
['04/1004604_1981-11-27_2012.jpg'],31,1.0,[146. 163. 181. ... 106.   0.  22.]
['56/10046756_1987-07-16_2014.jpg'],27,0.0,[229. 222. 206. ... 206. 143.  99.]
['54/1004854_1937-12-29_1961.jpg'],24,0.0,[5. 3. 4. ... 7. 7. 9.]
['00/10049200_1891-09-16_1958.jpg'],67,0.0,[198. 200. 199. ... 121. 119. 120.]
['49/10049_1945-03-30_2008.jpg'],63,1.0,[21. 16. 13. ... 14. 12. 13.]
['79/1005079_1937-09-06_2010.jpg'],73,0.0,[187. 180. 196. ... 152. 125.  44.]
['31/1005131_1955-07-06_2005.jpg'],50,1.0,[ 3.  3.  3. ... 45. 42. 61.]
['58/1005258_1960-01-10_2013.jpg'],53,0.0,[207. 198. 181. ...  28.  28.  28.]
['11/10054011_1982-06-12_2009.jpg'],27,1.0,[ 97.  99.  88. ... 204. 204. 206.]
['25/1005525_1937-08-20_2008.jpg'],71,1.0,[ 16.  12.  13. ... 255. 238. 179.]
['79/10055379_1992-09-28_2010.jpg'],18,1.0,[  1.   1.   1. ... 218. 220. 219.]
['88/10058588_1970-06-02_2009.jpg'],39,1.0,[251. 249. 162. ...  30.  24.  34.]
['27/1005927_1979-12-03_2006.jpg'],27,1.0,[92. 95. 88. ... 69. 55. 44.]
['47/1005947_1968-04-18_2007.jpg'],39,1.0,[ 73.  69.  40. ... 202. 175. 148.]
['11/1006211_1970-12-29_2011.jpg'],41,1.0,[74. 18. 83. ... 70. 22. 74.]
['37/10063437_1986-03-06_2014.jpg'],28,1.0,[160. 130.  78. ... 103.   0.   0.]
['03/10064003_1986-01-04_2009.jpg'],23,0.0,[  5.  13.  16. ... 249. 111. 127.]
['07/1006407_1980-07-07_2005.jpg'],25,0.0,[198. 180. 160. ...  56.  47.  38.]
['91/100691_1941-07-30_2007.jpg'],66,1.0,[ 4.  5.  0. ... 11.  1.  2.]
['92/100692_1954-12-28_2000.jpg'],46,1.0,[166. 167. 172. ...  73.  78. 118.]
['07/1007007_1973-01-20_2011.jpg'],38,1.0,[ 0.  0.  0. ... 65. 47. 23.]
['45/10071745_1981-10-16_2010.jpg'],29,1.0,[199. 217. 239. ...  58.  63.  69.]
['92/1007192_1935-05-27_2005.jpg'],70,0.0,[255. 250. 220. ...  37.  31.  35.]
['71/10071_1961-04-03_2010.jpg'],49,0.0,[239. 238. 254. ...   9.   7.  12.]
['98/10072598_1972-07-06_2009.jpg'],37,1.0,[222. 218. 219. ...  33.  36.  45.]
['99/1007499_1983-03-09_2013.jpg'],30,1.0,[ 73.  51.  40. ... 249. 219. 247.]
['01/10075401_1944-11-05_1982.jpg'],38,1.0,[254. 254. 254. ... 204. 204. 204.]
['15/10075415_1988-01-11_2010.jpg'],22,0.0,[250. 222. 175. ... 132.  99.  82.]
['99/10075699_1960-11-06_2011.jpg'],51,1.0,[138. 154. 170. ...  34.  58.  60.]
['36/1007636_1968-12-17_2012.jpg'],44,1.0,[ 0.  0.  7. ...  5.  8. 15.]
['09/1007709_1922-04-15_1967.jpg'],45,1.0,[ 69.  69.  69. ... 151. 151. 151.]
['64/1007764_1947-12-21_2007.jpg'],60,1.0,[ 1.  1.  1. ... 12.  8.  9.]
['67/1007767_1899-12-14_1970.jpg'],71,1.0,[93. 73. 23. ... 13.  8. 14.]
['69/10079169_1991-03-11_2010.jpg'],19,0.0,[202. 184. 170. ... 129. 131. 130.]
['28/1007928_1986-03-09_2009.jpg'],23,0.0,[229. 234. 227. ... 158.  34.  34.]
['46/10080646_1986-08-08_2014.jpg'],28,0.0,[ 19.  17.  18. ... 188. 119.  60.]
['71/1008071_1924-07-13_1945.jpg'],21,1.0,[233. 239. 227. ...  58.  71.  87.]
['33/1008133_1956-12-17_2009.jpg'],53,1.0,[236. 235. 230. ...  22.  23.  18.]
['50/10081450_1915-04-03_1996.jpg'],81,1.0,[57. 54. 47. ...  0.  0.  0.]
['67/10081867_1930-06-03_1965.jpg'],35,0.0,[15. 15. 15. ... 43. 43. 43.]
['83/1008283_1958-06-17_2009.jpg'],51,1.0,[255. 253. 255. ...   3.   1.   4.]
['52/1008352_1971-10-26_2006.jpg'],35,1.0,[41. 39. 42. ... 70. 65. 59.]
['40/100840_1948-09-24_1978.jpg'],30,1.0,[122. 148.  41. ... 154. 138. 125.]
['76/10084176_1989-03-21_2014.jpg'],25,1.0,[74. 65. 60. ... 97. 86. 82.]
['01/1008501_1971-10-09_2010.jpg'],39,1.0,[ 83.  72.  52. ... 227. 131.  71.]
['06/1008506_1974-09-19_2015.jpg'],41,0.0,[241. 252. 254. ... 196. 138. 100.]
['66/100866_1921-07-23_1990.jpg'],69,1.0,[86. 60. 43. ...  5.  1.  0.]
['63/1008763_1978-06-21_2009.jpg'],31,0.0,[170. 170. 170. ...  68.  77.  74.]
['81/10088281_1945-02-05_1973.jpg'],28,1.0,[245. 244. 239. ... 247. 249. 248.]
['40/1008840_1938-04-10_1976.jpg'],38,1.0,[231. 231. 231. ... 228. 228. 228.]
['76/10088476_1956-11-10_2008.jpg'],52,1.0,[ 7.  7.  9. ... 22. 25. 34.]
['84/1008884_1929-06-26_2003.jpg'],74,1.0,[184. 175. 170. ...  27.  49.  60.]
['54/10088854_1982-04-06_2002.jpg'],20,1.0,[ 66.  41.  44. ... 212. 161. 130.]
['05/1008905_1962-09-18_2010.jpg'],48,1.0,[  5.   6.  10. ... 255. 253. 255.]
['10/10089110_1982-07-31_2009.jpg'],27,1.0,[104. 157.  85. ...  61.  78. 122.]
['44/10089844_1969-08-19_2000.jpg'],31,1.0,[151. 141. 140. ... 212. 195. 187.]
['09/1009109_1963-06-24_2010.jpg'],47,1.0,[255. 250. 228. ... 114. 112. 133.]
['74/10093174_1986-03-16_2012.jpg'],26,1.0,[108. 110. 109. ...  37.  41.  44.]
['85/10093585_1989-07-21_2011.jpg'],22,0.0,[255. 242. 239. ...   0.   0.   0.]
['36/100936_1944-05-25_2012.jpg'],68,1.0,[ 39.  72. 103. ...  35.  49.  86.]
['53/1009453_1981-03-06_2007.jpg'],26,0.0,[216. 187. 145. ... 121.  71.  38.]
['52/10095252_1950-05-26_1972.jpg'],22,1.0,[ 35.  31.  28. ... 184. 137.  95.]
['56/10099956_1981-06-16_2010.jpg'],29,1.0,[ 30.  46.  35. ... 213. 216. 225.]
['36/20000636_1906-09-02_1941.jpg'],35,1.0,[141. 132. 103. ...  83.  85.  71.]
['19/2000219_1975-11-30_1996.jpg'],21,0.0,[107. 107. 107. ...  51.  51.  51.]
['15/2000415_1932-11-06_2009.jpg'],77,1.0,[53. 41. 25. ... 15. 10.  6.]
['53/200053_1949-12-15_1986.jpg'],37,1.0,[ 39.  49.  59. ... 230. 236. 236.]
['62/2000562_1981-10-01_2013.jpg'],32,1.0,[81. 55. 42. ... 29. 33. 44.]
['81/2000781_1979-07-30_2012.jpg'],33,1.0,[77. 79. 78. ... 53. 54. 59.]
['74/20008074_1950-03-02_2011.jpg'],61,1.0,[189. 180. 175. ...  88.  87.  67.]
['64/20010364_1968-05-15_2007.jpg'],39,1.0,[146. 133. 125. ...  27.  22.  19.]
['18/2001318_1960-01-05_2013.jpg'],53,1.0,[21. 21. 21. ... 43. 43. 43.]
['06/20013406_1986-05-19_2012.jpg'],26,1.0,[224. 242. 255. ... 255. 255. 255.]
['13/20013513_1925-09-13_1958.jpg'],33,1.0,[ 83.  83.  83. ... 127. 127. 127.]
['42/20015042_1910-06-30_2005.jpg'],95,0.0,[125. 110.  79. ...  53.  13.  14.]
['78/20015278_1990-11-12_2011.jpg'],21,1.0,[195. 179. 166. ... 202. 185. 191.]
['34/20015634_1978-09-14_2010.jpg'],32,1.0,[ 0.  0.  0. ... 19. 26. 34.]
['40/2001740_1947-01-20_1993.jpg'],46,1.0,[ 83.  83.  81. ... 150. 151. 153.]
['83/20020283_1983-02-23_2011.jpg'],28,1.0,[247. 247. 239. ... 213. 216. 209.]
['02/200202_1964-11-06_2007.jpg'],43,1.0,[ 16.  25.  32. ... 209. 120.  80.]
['61/20022961_1990-01-13_2014.jpg'],24,1.0,[177. 109.  72. ...  92.  92.  80.]
['08/2002308_1989-08-09_2005.jpg'],16,0.0,[224. 235. 221. ... 245. 238. 228.]
['65/20024365_1990-07-29_2008.jpg'],18,0.0,[ 1. 18. 36. ... 38. 34. 25.]
['52/200252_1938-01-14_2014.jpg'],76,1.0,[153. 162. 179. ...  65.  68.  73.]
['55/20025755_1979-03-10_2009.jpg'],30,1.0,[ 32.  30.  17. ... 230. 223. 241.]
['10/2002610_1920-03-01_1948.jpg'],28,1.0,[ 32.  28.  25. ... 130. 121. 112.]
['69/20027069_1923-01-14_1951.jpg'],28,1.0,[218. 232. 233. ... 192. 181. 161.]
['50/20027350_1990-06-17_2014.jpg'],24,1.0,[ 58.  54.  42. ... 198. 128. 102.]
['56/2002856_1982-09-28_2013.jpg'],31,0.0,[1. 0. 5. ... 0. 0. 0.]
['87/20028987_1988-03-19_2009.jpg'],21,1.0,[158. 181. 197. ...  48.  49.  80.]
['29/20029729_1979-06-03_2014.jpg'],35,1.0,[201. 227. 120. ... 163.  18.  49.]
['46/2003146_1972-03-17_2011.jpg'],39,1.0,[250. 252. 249. ... 134. 100.  91.]
['34/2003234_1982-10-11_2011.jpg'],29,1.0,[182. 180. 142. ... 140. 154. 167.]
['82/20032482_1941-08-30_2015.jpg'],74,1.0,[ 0.  0.  0. ... 50. 14.  0.]
['32/20032_1953-05-15_2006.jpg'],53,1.0,[ 67. 106. 135. ...  43.  75. 116.]
['40/20033040_1967-06-29_2009.jpg'],42,0.0,[ 69.  48.  17. ... 255.  60.  96.]
['35/20033935_1957-12-14_2014.jpg'],57,1.0,[ 4. 10. 10. ... 41. 41. 29.]
['55/20034355_1986-06-29_2009.jpg'],23,1.0,[141. 161. 162. ... 185.  26.  46.]
['57/200357_1881-09-05_1944.jpg'],63,1.0,[163. 165. 151. ...  87.  68.  51.]
['40/2003740_1944-08-31_2012.jpg'],68,0.0,[158. 120. 107. ... 150. 115.  96.]
['85/200385_1885-11-30_1940.jpg'],55,1.0,[158. 158. 158. ...  50.  50.  50.]
['15/20039715_1991-09-05_2008.jpg'],17,0.0,[180. 173. 189. ... 163. 167. 166.]
['01/2004001_1982-09-28_2012.jpg'],30,1.0,[ 87.  70.  52. ... 176. 187. 189.]
['03/20042203_1894-10-26_1944.jpg'],50,1.0,[ 38.  38.  38. ... 255. 255. 255.]
['30/2004430_1982-09-03_2014.jpg'],32,1.0,[ 13.   3.   2. ... 253. 231. 233.]
['55/2004855_1961-05-26_2011.jpg'],50,1.0,[22. 23. 18. ...  9.  8.  4.]
['35/2004935_1952-02-06_2008.jpg'],56,1.0,[203. 124.  81. ... 222. 226. 235.]
['28/20050128_1967-11-21_2010.jpg'],43,1.0,[7. 7. 7. ... 0. 0. 0.]
['90/2005290_1972-10-22_2008.jpg'],36,0.0,[230. 230. 230. ... 110.  70.  44.]
['72/20053572_1982-04-06_2009.jpg'],27,1.0,[ 50.  50.  50. ... 141. 141. 141.]
['58/20054558_1935-08-25_1956.jpg'],21,1.0,[197. 173. 145. ... 104.  73.  44.]
['74/2005574_1956-11-21_2009.jpg'],53,0.0,[254. 254. 254. ...  39.  29.  30.]
['63/200563_1971-05-27_2014.jpg'],43,1.0,[133. 152. 169. ...  27.  31.  32.]
['91/200591_1947-01-24_1978.jpg'],31,1.0,[236. 236. 236. ...  58.  62.  71.]
['86/20060786_1919-01-08_1942.jpg'],23,1.0,[175. 180. 148. ... 212. 205. 153.]
['62/20063362_1987-10-05_2011.jpg'],24,1.0,[127. 146.  91. ... 253.  84.  53.]
